From Date,PM10 (ug/m3)
2016-07-03,2733.09
2016-07-10,5810.84
2016-07-17,7263.76
2016-07-24,3518.9
2016-07-31,4941.77
2016-08-07,5868.1
2016-08-14,7341.92
2016-08-21,8514.35
2016-08-28,7767.01
2016-09-04,3367.09
2016-09-11,4278.15
2016-09-18,6157.69
2016-09-25,4021.08
2016-10-02,9781.27
2016-10-09,9025.15
2016-10-16,13539.67
2016-10-23,17183.25
2016-10-30,14714.18
2016-11-06,9742.59
2016-11-13,15814.25
2016-11-20,13887.84
2016-11-27,16345.91
2016-12-04,11570.35
2016-12-11,13670.93
2016-12-18,11034.51
2016-12-25,8539.25
2017-01-01,15273.56
2017-01-08,14413.6
2017-01-15,13300.83
2017-01-22,13298.75
2017-01-29,11215.33
2017-02-05,12324.5
2017-02-12,14048.59
2017-02-19,12659.82
2017-02-26,13354.25
2017-03-05,8921.5
2017-03-12,7976.75
2017-03-19,8901.33
2017-03-26,13660.67
2017-04-02,9573.75
2017-04-09,11774.58
2017-04-16,17613.67
2017-04-23,14736.42
2017-04-30,15356.42
2017-05-07,10421.58
2017-05-14,9578.67
2017-05-21,5264.67
2017-05-28,11403.08
2017-06-04,6066.59
2017-06-11,5958.75
2017-06-18,5533.25
2017-06-25,6454.5
2017-07-02,6498.75
2017-07-16,5243.25
2017-07-23,3522.75
2017-08-06,5035.08
2017-08-13,8762.08
2017-08-20,8498.83
2017-08-27,2227.42
2017-09-03,6503.0
2017-09-10,6324.51
2017-09-17,5600.08
2017-09-24,6859.25
2017-10-01,8679.42
2017-10-08,6874.25
2017-10-15,7486.09
2017-10-22,13256.25
2017-10-29,12991.0
2017-11-05,9423.25
2017-11-12,10158.25
2017-11-19,10207.34
2017-11-26,11161.25
2017-12-03,10625.58
2017-12-10,14185.75
2017-12-17,13037.92
2017-12-24,14322.58
2017-12-31,16012.42
2018-01-07,14249.33
2018-01-14,19328.25
2018-01-21,14884.5
2018-01-28,15059.0
2018-02-04,5974.17
2018-02-11,11391.0
2018-02-18,12413.25
2018-02-25,12758.0
2018-03-04,9420.25
2018-03-11,12906.17
2018-03-18,9473.83
2018-03-25,9745.5
2018-04-01,14779.58
2018-04-08,14332.25
2018-04-15,9420.91
2018-04-22,3754.92
2018-04-29,10194.92
2018-05-06,11037.08
2018-05-13,5327.5
2018-05-20,12279.25
2018-05-27,13865.0
2018-06-03,11332.42
2018-06-10,5174.76
2018-06-17,11252.75
2018-06-24,8500.0
2018-07-01,7875.17
2018-07-08,7784.0
2018-07-15,7710.0
2018-07-22,8832.52
2018-07-29,8908.99
2018-08-05,4153.5
2018-08-12,5807.5
2018-08-19,5424.5
2018-08-26,7817.75
2018-09-02,7857.75
2018-09-09,8910.92
2018-09-16,7851.5
2018-09-23,246.0
2018-09-30,7355.67
2018-10-07,5815.25
2018-10-14,17655.09
2018-10-21,11022.25
2018-10-28,15581.25
2018-11-04,7652.75
2018-11-11,10011.75
2018-11-18,12118.75
2018-11-25,11666.25
2018-12-02,13189.0
2018-12-09,13051.08
2018-12-16,17962.17
2018-12-23,11974.0
2018-12-30,17268.0
2019-01-06,16390.0
2019-01-13,16051.83
2019-01-20,18986.0
2019-01-27,11892.75
2019-02-03,10186.75
2019-02-10,12669.41
2019-02-17,10069.5
2019-02-24,10102.25
2019-03-03,9531.0
2019-03-10,11913.25
2019-03-17,14127.5
2019-03-24,9721.0
2019-03-31,12627.5
2019-04-07,8143.0
2019-04-14,9104.0
2019-04-21,7769.5
2019-04-28,9185.34
2019-05-05,12795.5
2019-05-12,12867.5
2019-05-19,13010.5
2019-05-26,12304.75
2019-06-02,10864.0
2019-06-09,9826.75
2019-06-16,6435.75
2019-06-23,7461.25
2019-06-30,6277.42
2019-07-07,6281.75
2019-07-14,4612.5
2019-07-21,5802.0
2019-07-28,5142.25
2019-08-04,5199.0
2019-08-11,3789.5
2019-08-18,5372.5
2019-08-25,5967.5
2019-09-01,5299.25
2019-09-08,4193.0
2019-09-15,5986.08
2019-09-22,5969.75
2019-09-29,6324.58
2019-10-06,6822.5
2019-10-13,7362.5
2019-10-20,4688.58
2019-10-27,4941.67
2019-11-03,5954.5
2019-11-10,18017.41
2019-11-17,7560.25
2019-11-24,9333.5
2019-12-01,6844.75
2019-12-08,8801.76
2019-12-15,6414.57
2019-12-22,11124.75
2019-12-29,10269.08
2020-01-05,3035.0
2020-01-12,8964.25
2020-01-19,10103.75
2020-01-26,9125.42
2020-02-02,11231.25
2020-02-09,8505.92
2020-02-16,9491.5
